plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,T_oa_celsius,RH_oa_pct,P_oa_pa,state_water_intensity_L_per_MWh,estimated_WUE_liters_per_kwh,Simulated_Effectiveness,Simulated_WUE_Peak,Simulated_WUE_Mean,Simulated_WUE_Blended_10pct,Simulated_WUE_Blended_20pct,capacity_mw
55294,Westbrook Energy Center Power Plant,2021,ME,1876320.0,1316.5277439,1530.554825,214.0270814,20,Closed,RI,1,NG,43.6575,-70.375,6A,A,Cold,0.027245676,57.6,40.1,48.9,14.22222222222222,60.0,101325.0,502.192908344458,0.701654166,3.311203376647369,3.4927351143477945,3.3637226385429155,3.3766238861234035,3.3895251337038914,563.9
50637,Clearwater Paper IPP Lewiston,2024,ID,375665.996,271.33440339000003,20815.29957,0.0,33,Closed,RI,1,BLQ,46.423056,-116.976389,5B,B,Cold,0.922146382,66.3,45.2,55.8,19.05555555555556,60.0,101325.0,110.1646422274235,0.722275655,3.3892498605134485,3.5413088987908767,3.3848034381413954,3.400453984206344,3.416104530271292,113.8
50637,Clearwater Paper IPP Lewiston,2023,ID,383063.997,268.6619039,20670.030678270003,0.0,32,Closed,RI,1,BLQ,46.423056,-116.976389,5B,B,Cold,0.922146382,66.1,45.3,55.7,18.944444444444443,60.0,101325.0,127.5932608456327,0.701349921,3.387271132482679,3.540086166113757,3.384482867981803,3.4000431977949983,3.4156035276081944,113.8
50637,Clearwater Paper IPP Lewiston,2022,ID,392242.002,277.30778037000005,23743.49212,0.0,31,Closed,RI,1,BLQ,46.423056,-116.976389,5B,B,Cold,0.922146382,63.9,43.2,53.6,17.72222222222222,60.0,101325.0,124.6712168621175,0.706981351,3.366567444851764,3.526989700620093,3.3778572760260155,3.392770518485423,3.407683760944831,113.8
50637,Clearwater Paper IPP Lewiston,2021,ID,398670.998,200.48288442000003,18473.71308381,0.0,30,Closed,RI,1,BLQ,46.423056,-116.976389,5B,B,Cold,0.922146382,66.7,45.0,55.8,19.27777777777778,60.0,101325.0,146.7834924222352,0.502878026,3.3930883733449058,3.543770975,3.3848034381413954,3.400700191839281,3.4165969455371665,113.8
2718,G G Allen,2024,NC,197901.0,225.54229862000005,164783.0688,164557.52273779002,67,Open,ON,5,BIT,35.1897,-81.0122,3A,A,Mixed-Humid,0.466937329,74.2,53.8,64.0,23.444444444444443,60.0,101325.0,453.3794956173031,1.139672354,3.4714365796641955,3.5944716182569927,3.4128103544538626,3.430976480834176,3.449142607214489,435.2
2718,G G Allen,2021,NC,161458.004,189.05851704000003,242842.9813,242653.9417,64,Open,ON,5,BIT,35.1897,-81.0122,3A,A,Mixed-Humid,0.466937329,73.8,51.4,62.6,23.22222222222222,60.0,101325.0,591.7171606,1.170945462,3.4669753905900844,3.591528861660826,3.407772734110002,3.4261483468650846,3.444523959620167,1148.4
2718,G G Allen,2022,NC,208487.004,246.05165,241076.0957,240970.1043,65,Open,ON,5,BIT,35.1897,-81.0122,3A,A,Mixed-Humid,0.466937329,73.4,51.3,62.4,23.000000000000004,60.0,101325.0,623.1265088468831,1.180177398,3.462545361937976,3.5886153392033244,3.4070622,3.4252175139210794,3.443372827841329,435.2
2718,G G Allen,2023,NC,80759.0,98.33359557,189083.20926943,188984.8795,66,Open,ON,5,BIT,35.1897,-81.0122,3A,A,Mixed-Humid,0.466937329,73.8,53.1,63.5,23.22222222222222,60.0,101325.0,578.6749582,1.217617796,3.466976138758916,3.591528861660826,3.4109982401253616,3.429051302278908,3.447104364432455,435.2
6021,Craig (CO),2024,CO,4512996.012,9270.8854851,9270.8854851,0.0,45,Closed,RI,3,SUB,40.4627,-107.5912,6B,B,Cold,1.284841675,61.3,27.9,44.6,16.27777777777778,60.0,101325.0,700.6470730621251,2.054264054,3.343047032376436,3.512300810645248,3.3515571779748425,3.367631541241884,3.383705904508924,1427.6
