plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
3943,FirstEnergy Fort Martin Power Station,2021,WV,5208497.988,6039.0803413700005,12304.07016613,5889.26138439,54,Closed,RN,2,BIT,39.710833,-79.9275,5A,A,Cold,0.164651456,65.1,45.8,55.5,846.559193931391,1152.0
3943,FirstEnergy Fort Martin Power Station,2022,WV,4954207.96,5787.547417690001,9904.43062975,4082.9129427200005,55,Closed,RN,2,BIT,39.710833,-79.9275,5A,A,Cold,0.164651456,64.4,44.0,54.2,1214.86070114236,1152.0
3943,FirstEnergy Fort Martin Power Station,2023,WV,4367853.998,5078.75967847,9058.39528016,3630.21576082,56,Closed,RN,2,BIT,39.710833,-79.9275,5A,A,Cold,0.164651456,66.2,45.6,55.9,1166.5483358819529,1152.0
50006,Linden Cogen Plant,2022,NJ,5242525.908,0.0,0.0,0.0,30,Dry-Hybrid,DC,1,NG,40.6322,-74.2156,4A,A,Mixed-Humid,0.355848805,65.7,48.0,56.9,446.906278716345,974.1
50006,Linden Cogen Plant,2024,NJ,5625478.981,0.0,0.0,0.0,32,Dry-Hybrid,DC,1,NG,40.6322,-74.2156,4A,A,Mixed-Humid,0.355848805,67.1,50.3,58.7,530.816931471863,974.1
50006,Linden Cogen Plant,2021,NJ,5620204.996,0.0,0.0,0.0,29,Dry-Hybrid,DC,1,NG,40.6322,-74.2156,4A,A,Mixed-Humid,0.355848805,66.4,49.5,58.0,498.99284424211896,974.1
50006,Linden Cogen Plant,2023,NJ,5644191.97,0.0,0.0,0.0,31,Dry-Hybrid,DC,1,NG,40.6322,-74.2156,4A,A,Mixed-Humid,0.355848805,67.2,50.2,58.7,510.40065575294307,974.1
3396,Bull Run,2022,TN,1087060.032,23768.58939,613770.16281,590342.26032,55,Open,ON,1,BIT,36.0211,-84.1567,4A,A,Mixed-Humid,0.201660476,70.9,49.2,60.1,964.348603740159,950.0
3396,Bull Run,2023,TN,755287.997,16515.74383,412776.24804000003,396264.28962,56,Open,ON,1,BIT,36.0211,-84.1567,4A,A,Mixed-Humid,0.201660476,71.6,50.8,61.2,526.167690152781,950.0
3396,Bull Run,2021,TN,817760.004,22807.095250000002,570226.59158,547419.49633,54,Open,ON,1,BIT,36.0211,-84.1567,4A,A,Mixed-Humid,0.201660476,70.5,50.1,60.3,957.3029783372971,950.0
3476,Knox Lee,2022,TX,364279.0,469.02744064,271298.08616646,270832.84413582,72,Open,OC,1,NG,32.3766,-94.6415,3A,A,Hot-Humid,1.107253721,78.8,54.8,66.8,721.372033824905,351.0
3476,Knox Lee,2024,TX,321255.0,418.07203663,338183.04434091004,337764.97230428,74,Open,OC,1,NG,32.3766,-94.6415,3A,A,Hot-Humid,1.107253721,79.4,57.9,68.6,777.322845056421,351.0
3476,Knox Lee,2021,TX,185165.0,227.4274328,241700.73760010002,241473.08304270002,71,Open,OC,1,NG,32.3766,-94.6415,3A,A,Hot-Humid,1.107253721,76.6,55.4,66.0,920.3527687577041,351.0
55126,Milford Power Project,2022,CT,3696502.0,1947.5669471300002,2889.08547856,941.48824815,18,Closed,RI,1,NG,41.224355,-73.099728,5A,A,Cold,0.123929499,61.7,45.7,53.7,88.68867951447731,578.0
55126,Milford Power Project,2021,CT,3317637.0,2228.092326,2940.1279470000004,712.035621,17,Closed,RI,1,NG,41.224355,-73.099728,5A,A,Cold,0.123929499,62.4,47.1,54.8,88.8310129745987,578.0
55126,Milford Power Project,2024,CT,3793320.0,2608.08692344,3639.5960068000004,1031.5015125400002,20,Closed,RI,1,NG,41.224355,-73.099728,5A,A,Cold,0.123929499,62.8,47.6,55.2,103.6138723826102,578.0
55126,Milford Power Project,2023,CT,3556428.0,2617.74728976,3564.27770403,946.0118131,19,Closed,RI,1,NG,41.224355,-73.099728,5A,A,Cold,0.123929499,62.5,47.1,54.8,111.92656865561891,578.0
7900,Sand Hill,2021,TX,1370225.0,836.23113769,1375.2773071000001,539.0461694100001,17,Closed,RI,1,NG,30.2098,-97.6129,2A,A,Hot-Humid,1.107253721,79.8,55.9,67.9,920.3527687577041,696.4
7900,Sand Hill,2024,TX,2134378.0,787.62647329,1699.32354474,911.69328604,20,Closed,RI,1,NG,30.2098,-97.6129,2A,A,Hot-Humid,1.107253721,83.0,58.9,70.9,777.322845056421,696.4
7900,Sand Hill,2023,TX,1861857.0,870.72757902,1687.09288503,816.36530601,19,Closed,RI,1,NG,30.2098,-97.6129,2A,A,Hot-Humid,1.107253721,82.6,57.7,70.2,776.325582577331,696.4
7900,Sand Hill,2022,TX,1617602.0,758.6340181,1423.72676969,665.09275159,18,Closed,RI,1,NG,30.2098,-97.6129,2A,A,Hot-Humid,1.107253721,81.6,55.1,68.4,721.372033824905,696.4
56671,Longview Power Plant,2021,WV,5551797.973,9276.741514370002,9280.29222895,3.5507145799999997,10,Closed,RI,1,BIT,39.707893,-79.958974,5A,A,Cold,0.164651456,65.1,45.8,55.5,846.559193931391,807.5
56671,Longview Power Plant,2023,WV,3921097.047,6229.94449898,6497.97802485,264.24811587,12,Closed,RI,1,BIT,39.707893,-79.958974,5A,A,Cold,0.164651456,66.2,45.6,55.9,1166.5483358819529,807.5
56671,Longview Power Plant,2022,WV,4559836.03,7188.60336689,7190.0569643300005,1.83213844,11,Closed,RI,1,BIT,39.707893,-79.958974,5A,A,Cold,0.164651456,64.4,44.0,54.2,1214.86070114236,807.5
