plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw,predicted_ceiling_75,predicted_ceiling_90,excess_pct_75,excess_pct_90,overconsumer_75,overconsumer_90,excess_ratio,risk_score
54761,Hermiston Generating Plant,2021,OR,2823007.0,2090.08384822,2278.55562671,0.0,25,Closed,RI,2,NG,45.8042,-119.37,5B,B,Cold,0.588205462,66.1,41.8,54.0,239.4993775745413,621.2,2327.667533204795,3092.248353646157,-0.10206942426081062,-0.3240892680060696,False,False,0.0,0.0
54761,Hermiston Generating Plant,2024,OR,3345664.0,2821.48562678,3013.79581101,0.0,28,Closed,RI,2,NG,45.8042,-119.37,5B,B,Cold,0.588205462,65.8,42.8,54.3,234.2863594347078,621.2,2609.149388248791,3407.5077172805445,0.08138140326021145,-0.17197968108146663,True,False,0.0,0.0
54761,Hermiston Generating Plant,2023,OR,2989539.0,2480.5034648,2718.92372824,0.0,27,Closed,RI,2,NG,45.8042,-119.37,5B,B,Cold,0.588205462,65.4,42.8,54.1,260.0931066519397,621.2,2429.4608365577888,3204.299424211045,0.021009858432018066,-0.22588274801730057,True,False,0.0,0.0
54761,Hermiston Generating Plant,2022,OR,2472054.0,1976.78652692,2141.61841996,0.0,26,Closed,RI,2,NG,45.8042,-119.37,5B,B,Cold,0.588205462,64.2,41.4,52.8,218.5724023883094,621.2,2102.8038540593793,2810.5247683057255,-0.059928236718849434,-0.2966486012817918,False,False,0.0,0.0
56798,Kleen Energy Systems Project,2022,CT,2416227.992,1672.6326188300002,1932.14518679,260.83367605,11,Closed,RI,1,NG,41.553227,-72.596867,5A,A,Cold,0.123929499,63.3,42.2,52.7,88.68867951447731,693.0,1867.511199393145,2426.218860386892,-0.10435202778246866,-0.3106010978072781,False,False,0.0,0.0
56798,Kleen Energy Systems Project,2021,CT,2418272.046,1645.88491177,1896.03994621,250.15881985,10,Closed,RI,1,NG,41.553227,-72.596867,5A,A,Cold,0.123929499,62.5,42.9,52.7,88.8310129745987,693.0,1868.6114373798894,2427.3822814947184,-0.1191936007424796,-0.32195067735416316,False,False,0.0,0.0
56798,Kleen Energy Systems Project,2024,CT,2912513.972,1834.99263914,2084.38680617,249.40552326,13,Closed,RI,1,NG,41.553227,-72.596867,5A,A,Cold,0.123929499,65.2,44.8,55.0,103.6138723826102,693.0,2158.8667635880433,2799.185937563177,-0.15002043197411757,-0.3444548950765853,False,False,0.0,0.0
56798,Kleen Energy Systems Project,2023,CT,2700107.036,1881.54182591,2125.01182629,243.39807759000004,12,Closed,RI,1,NG,41.553227,-72.596867,5A,A,Cold,0.123929499,63.5,43.8,53.7,111.92656865561892,693.0,2035.3966272624932,2629.870361657404,-0.07558959236334212,-0.2845495909828005,False,False,0.0,0.0
55179,Rathdrum Power LLC,2023,ID,1809544.0,668.50719141,668.50719141,0.0,22,Closed,RI,1,NG,47.7858,-116.9203,5B,B,Cold,0.922146382,60.0,35.5,47.7,127.5932608456327,301.5,1306.0564657096609,1629.979897219503,-0.48814832362798427,-0.5898678305478667,False,False,0.0,0.0
55179,Rathdrum Power LLC,2022,ID,1656480.0,614.9777086,614.9777086,0.0,21,Closed,RI,1,NG,47.7858,-116.9203,5B,B,Cold,0.922146382,57.9,32.6,45.3,124.6712168621175,301.5,1207.9265313479405,1490.4279204692257,-0.4908815290995069,-0.587381784684771,False,False,0.0,0.0
55179,Rathdrum Power LLC,2024,ID,1373012.0,554.6155607400001,554.6155607400001,0.0,23,Closed,RI,1,NG,47.7858,-116.9203,5B,B,Cold,0.922146382,60.5,35.1,47.9,110.1646422274235,301.5,1085.2577881942552,1403.7388313617628,-0.4889550051856187,-0.604901176523008,False,False,0.0,0.0
55985,Palomar Energy,2024,CA,925649.0,947.40862939,1383.19638482,435.78775543000006,18,Closed,RI,1,NG,33.1197,-117.117778,3B,B,Hot-Dry,1.509648074,70.4,57.5,63.9,177.1685916233332,559.0,1059.2027249317573,1688.6346880734475,-0.1055455135360986,-0.4389499184865778,False,False,0.0,0.0
55985,Palomar Energy,2022,CA,2381530.0,1703.82818264,2508.6669152000004,804.83873256,16,Closed,RI,1,NG,33.1197,-117.117778,3B,B,Hot-Dry,1.509648074,71.2,56.7,64.0,175.26246227243382,559.0,1985.1527703005604,2831.5591927215783,-0.14171432640822232,-0.3982720943925066,False,False,0.0,0.0
55985,Palomar Energy,2021,CA,1835521.0,1305.68254425,1947.0975562900005,641.41501204,15,Closed,RI,1,NG,33.1197,-117.117778,3B,B,Hot-Dry,1.509648074,71.5,58.2,64.9,180.6069952463169,559.0,1683.4003714982837,2496.3272844936414,-0.22437789229671004,-0.4769585893802997,False,False,0.0,0.0
55985,Palomar Energy,2023,CA,1279412.0,947.40862939,1383.19638482,435.78775543000006,17,Closed,RI,1,NG,33.1197,-117.117778,3B,B,Hot-Dry,1.509648074,69.8,56.4,63.1,196.1989634429307,559.0,1309.8769444757227,1992.2597326174996,-0.2767193640703405,-0.5244552635989577,False,False,0.0,0.0
64020,West Riverside Energy Center,2022,WI,3131250.0,2568.90035912,2910.4086930900003,341.50076315,2,Closed,RI,1,NG,42.582051,-89.041214,5A,A,Cold,0.411708569,59.5,38.9,49.2,497.662717034253,727.6,2352.978129159089,2800.2313602132162,0.09176550656596098,-0.08261138860883349,True,False,0.0,0.0
64020,West Riverside Energy Center,2023,WI,4259326.0,2703.8805089,3077.8752314900003,373.998508,3,Closed,RI,1,NG,42.582051,-89.041214,5A,A,Cold,0.411708569,61.4,41.2,51.3,568.09964919461,727.6,2974.2672772525066,3463.5467397822986,-0.09090869889886877,-0.21933188374701917,False,False,0.0,0.0
64020,West Riverside Energy Center,2024,WI,4961149.0,3201.7641299700003,3602.33243076,400.56072997,4,Closed,RI,1,NG,42.582051,-89.041214,5A,A,Cold,0.411708569,63.3,42.4,52.9,507.649591622557,727.6,3294.3993908452585,3838.2362244547858,-0.02811901347865728,-0.16582410702853367,False,False,0.0,0.0
64020,West Riverside Energy Center,2021,WI,1971841.0,1816.25864505,2070.62305541,258.18767446000004,1,Closed,RI,1,NG,42.582051,-89.041214,5A,A,Cold,0.411708569,62.1,42.0,52.0,908.5912065184292,727.6,1914.3933142071858,2405.4190823947242,-0.05126149805732401,-0.24493047455089748,False,False,0.0,0.0
562,Middletown,2022,CT,188239.996,198.21163842,49123.85987937,48926.04949441,64,Open,ON,3,NG,41.554444,-72.576666,5A,A,Cold,0.123929499,63.3,42.2,52.7,88.68867951447731,1028.4,7000.155662328077,4002.4002682989985,-0.9716846813154896,-0.9504768076321765,False,False,0.0,0.0
562,Middletown,2023,CT,169772.002,52.36357653,61801.48187512,61763.472573310006,65,Open,ON,3,NG,41.554444,-72.576666,5A,A,Cold,0.123929499,63.5,43.8,53.7,111.92656865561892,1028.4,6617.222424968191,3859.720165709615,-0.9920867740016687,-0.9864333230695824,False,False,0.0,0.0
562,Middletown,2024,CT,32953.0,194.82369647,1049.8834635,855.0597670300001,66,Open,ON,3,NG,41.554444,-72.576666,5A,A,Cold,0.123929499,65.2,44.8,55.0,103.6138723826102,1028.4,2247.2973014412705,1612.134825132568,-0.9133075555490354,-0.8791517350579041,False,False,0.0,0.0
562,Middletown,2021,CT,154648.001,41.68872033,45250.09840997,45210.48409432,63,Open,ON,3,NG,41.554444,-72.576666,5A,A,Cold,0.123929499,62.5,42.9,52.7,88.8310129745987,1028.4,6143.865051434415,3595.627301446183,-0.9932145774718364,-0.9884057170460263,False,False,0.0,0.0
55641,Riverside Energy Center,2023,WI,3543044.0,2469.50684875,3219.76753993,750.2644765900001,19,Closed,RI,1,NG,42.583056,-89.035833,5A,A,Cold,0.411708569,61.4,41.2,51.3,568.09964919461,674.9,2600.317543335333,3087.722866365052,-0.050305661676053284,-0.2002174561549406,False,False,0.0,0.0
55641,Riverside Energy Center,2022,WI,2750576.0,1675.72908421,2345.51952961,669.7904454000001,18,Closed,RI,1,NG,42.583056,-89.035833,5A,A,Cold,0.411708569,59.5,38.9,49.2,497.662717034253,674.9,2132.943054407239,2571.6833113620155,-0.2143582639266954,-0.34839213024153426,False,False,0.0,0.0
55641,Riverside Energy Center,2024,WI,3386019.0,2296.82401537,3038.40854683,741.5845314600001,20,Closed,RI,1,NG,42.583056,-89.035833,5A,A,Cold,0.411708569,63.3,42.4,52.9,507.649591622557,674.9,2525.582589397351,3071.7681275804857,-0.09057655646966471,-0.25227949507402425,False,False,0.0,0.0
55641,Riverside Energy Center,2021,WI,3226607.0,2227.9068409100005,2875.41636305,647.50573673,17,Closed,RI,1,NG,42.583056,-89.035833,5A,A,Cold,0.411708569,62.1,42.0,52.0,908.5912065184292,674.9,2623.1226848843266,3101.431481843948,-0.15066616832363455,-0.28165208422228166,False,False,0.0,0.0
6257,Scherer,2021,GA,8339311.972,17698.1544976,59010.7186359,41335.2765983,39,Closed,RN,4,SUB,33.0606,-83.8075,3A,A,Mixed-Humid,0.230909114,77.8,53.5,65.7,1654.8126797433392,3564.0,25941.377256191772,37485.10306109979,-0.31776349717994457,-0.5278616556355081,False,False,0.0,0.0
6257,Scherer,2023,GA,6461453.011,13835.67355,51125.74746,35579.980873810004,41,Closed,RN,3,SUB,33.0606,-83.8075,3A,A,Mixed-Humid,0.230909114,78.7,54.2,66.5,1527.9196715594371,3564.0,19551.849581563136,28361.27347233268,-0.2923598612866445,-0.5121631768934093,False,False,0.0,0.0
